NAME,VERSION,TYPE
libidn2-0,2.3.8-2,deb
libk5crypto3,1.21.3-5,deb
libkeyutils1,1.6.3-6,deb
libkrb5-3,1.21.3-5,deb
libkrb5support0,1.21.3-5,deb
libksba8,1.6.7-2+b1,deb
liblastlog2-2,2.41-5,deb
libldap-common,2.6.10+dfsg-1,deb
libldap2,2.6.10+dfsg-1,deb
libltdl7,2.5.4-4,deb
liblz4-1,1.10.0-4,deb
liblzma5,5.8.1-1,deb
libmd0,1.1.0-2+b1,deb
libmount1,2.41-5,deb
libncursesw6,6.5+20250216-2,deb
libnettle8t64,3.10.1-1,deb
libnghttp2-14,1.64.0-1.1,deb
libnghttp3-9,1.8.0-1,deb
libnpth0t64,1.8-3,deb
libodbc2,2.3.12-2,deb
libodbccr2,2.3.12-2,deb
libodbcinst2,2.3.12-2,deb
libp11-kit0,0.25.5-3,deb
libpam-modules,1.7.0-5,deb
libpam-modules-bin,1.7.0-5,deb
libpam-runtime,1.7.0-5,deb
libpam0g,1.7.0-5,deb
libpcre2-8-0,10.46-1~deb13u1,deb
libpsl5t64,0.21.2-1.1+b1,deb
libreadline8t64,8.2-6,deb
librtmp1,2.4+20151223.gitfa8646d.1-2+b5,deb
libsasl2-2,2.1.28+dfsg1-9,deb
libsasl2-modules,2.1.28+dfsg1-9,deb
libsasl2-modules-db,2.1.28+dfsg1-9,deb
libseccomp2,2.6.0-2,deb
libselinux1,3.8.1-1,deb
libsemanage-common,3.8.1-1,deb
libsemanage2,3.8.1-1,deb
libsepol2,3.8.1-1,deb
libsmartcols1,2.41-5,deb
libsqlite3-0,3.46.1-7,deb
libssh2-1t64,1.11.1-1,deb
libssl3t64,3.5.1-1+deb13u1,deb
libstdc++6,14.2.0-19,deb
libsystemd0,257.8-1~deb13u2,deb
libtasn1-6,4.20.0-2,deb
libtinfo6,6.5+20250216-2,deb
libudev1,257.8-1~deb13u2,deb
libunistring5,1.3-2,deb
libuuid1,2.41-5,deb
libxxhash0,0.8.3-2,deb
libzstd,1.5.7+dfsg-1,deb
libzstd1,1.5.7+dfsg-1,deb
login,1:4.16.0-2+really2.41-5,deb
login.defs,1:4.17.4-2,deb
lxml,6.0.0,python
markupsafe,3.0.2,python
mawk,1.3.4.20250131-1,deb
more-itertools,10.3.0,python
mount,2.41-5,deb
msal,1.31.1,python
msal-extensions,1.2.0,python
msodbcsql17,17.10.6.1-1,deb
msrest,0.7.1,python
my-test-package,1.0,python
ncurses-base,6.5+20250216-2,deb
ncurses-bin,6.5+20250216-2,deb
netbase,6.5,deb
oauthlib,3.2.2,python
odbcinst,2.3.12-2,deb
openssl,3.5.1,binary
openssl,3.5.1-1+deb13u1,deb
openssl-provider-legacy,3.5.1-1+deb13u1,deb
packaging,24.2,python
packaging,25.0,python
passlib,1.7.4,python
passwd,1:4.17.4-2,deb
perl-base,5.40.1-6,deb
pinentry-curses,1.3.1-2,deb
pip,25.2,python
platformdirs,4.2.2,python
pluggy,1.6.0,python
portalocker,2.10.1,python
publicsuffix,20250328.1952-0.1,deb
pycparser,2.22,python
pydantic,2.10.6,python
pydantic-core,2.27.2,python
pydantic-settings,2.11.0,python
pygments,2.19.2,python
pyjwt,2.9.0,python
pymssql,2.3.0,python
pyodbc,5.2.0,python
pytest,8.4.0,python
python,3.12.12,binary
python-dateutil,2.9.0.post0,python
python-dotenv,1.0.1,python
python-multipart,0.0.20,python
readline-common,8.2-6,deb
redis,6.2.0,python
requests,2.32.3,python
requests-oauthlib,2.0.0,python
sed,4.9-2,deb
setuptools,80.9.0,python
shadow,1:4.17.4-2,deb
six,1.17.0,python
sniffio,1.3.1,python
sqlalchemy,2.0.29,python
sqv,1.3.0-3,deb
starlette,0.44.0,python
systemd,257.8-1~deb13u2,deb
sysvinit-utils,3.14-4,deb
tar,1.35+dfsg-3.1,deb
tomli,2.0.1,python
typeguard,4.3.0,python
typing-extensions,4.12.2,python
typing-inspection,0.4.2,python
tzdata,2025b-4+deb13u1,deb
unixodbc,2.3.12-2,deb
unixodbc-common,2.3.12-2,deb
urllib3,2.2.3,python
util-linux,2.41-5,deb
uvicorn,0.29.0,python
watchfiles,0.24.0,python
websockets,13.1,python
werkzeug,3.1.3,python
wheel,0.45.1,python
zipp,3.19.2,python
zlib1g,1:1.3.dfsg+really1.3.1-1+b1,deb
